phase,patterns,corpus,searcher,threads_label,tag,thr,bytes,matches,min_ms,mean_ms,median_ms,max_ms,cv_pct,mbps,gbps,wrk,pattern_count,automaton_states,automaton_kib,build_ms,warmup,iters,log_file
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,8,,8,1421183736,58367984,6306.762,6371.002,6346.661,6460.094,0.98,212.74,1.7846,8,44678,508896,518942.72,563.862,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,1,,1,1421183736,58367984,10274.293,10438.913,10320.289,10812.317,2.14,129.84,1.0891,1,44678,508896,518942.72,496.137,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,10,,10,1421183736,58367984,5877.032,5920.625,5936.613,5941.503,0.46,228.92,1.9203,10,44678,508896,518942.72,491.055,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,12,,12,1421183736,58367984,3312.805,4043.278,3945.043,4879.962,18.63,335.21,2.8119,12,44678,508896,518942.72,531.881,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,2,,2,1421183736,58367984,7474.934,7574.331,7556.420,7746.038,1.41,178.94,1.5011,2,44678,508896,518942.72,490.892,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,4,,4,1421183736,58367984,6480.857,6723.309,6699.803,6944.184,2.54,201.59,1.6911,4,44678,508896,518942.72,514.566,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,6,,6,1421183736,58367984,3809.158,5331.555,5544.359,6072.780,16.96,254.21,2.1325,6,44678,508896,518942.72,532.023,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,8,,8,1421183736,58367984,3610.746,5023.147,5097.003,6332.308,25.85,269.82,2.2634,8,44678,508896,518942.72,555.305,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,1,,1,1421183736,58367984,9455.710,9485.907,9483.671,9526.856,0.28,142.88,1.1986,1,44678,508896,518942.72,494.363,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,10,,10,1421183736,58367984,4667.523,4788.113,4736.711,4915.838,2.27,283.06,2.3745,10,44678,508896,518942.72,554.617,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,12,,12,1421183736,58367984,2917.663,3816.614,4221.707,4387.380,17.13,355.12,2.9789,12,44678,508896,518942.72,556.866,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,2,,2,1421183736,58367984,5560.215,6497.460,6687.578,6806.824,8.10,208.60,1.7498,2,44678,508896,518942.72,550.459,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,4,,4,1421183736,58367984,5474.770,5537.850,5495.368,5638.526,1.29,244.74,2.0530,4,44678,508896,518942.72,545.670,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,6,,6,1421183736,58367984,3228.670,3684.753,3396.931,4606.284,15.96,367.83,3.0855,6,44678,508896,518942.72,527.601,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,8,,8,1421183736,58367984,4846.979,4968.064,4968.956,5108.374,2.37,272.81,2.2885,8,44678,508896,518942.72,486.353,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,1,,1,1421183736,58367984,10339.291,10355.480,10353.275,10389.244,0.20,130.88,1.0979,1,44678,508896,518942.72,493.096,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T1.log
