phase,patterns,corpus,searcher,threads_label,tag,log_file,automaton_states,bytes,iters,matches,pattern_count,thr,warmup,wrk,automaton_kib,build_ms,cv_pct,gbps,max_ms,mbps,mean_ms,median_ms,min_ms,build_threads
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,6,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T6.log,508896,1421183736,5,58367984,44678,6,2,6,518942.72,532.023,16.96,2.1325,6072.78,254.21,5331.555,5544.359,3809.158,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,555.305,25.85,2.2634,6332.308,269.82,5023.147,5097.003,3610.746,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,494.363,0.28,1.1986,9526.856,142.88,9485.907,9483.671,9455.71,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,10,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T10.log,508896,1421183736,5,58367984,44678,10,2,10,518942.72,554.617,2.27,2.3745,4915.838,283.06,4788.113,4736.711,4667.523,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,556.866,17.13,2.9789,4387.38,355.12,3816.614,4221.707,2917.663,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,2,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T2.log,508896,1421183736,5,58367984,44678,2,2,2,518942.72,550.459,8.1,1.7498,6806.824,208.6,6497.46,6687.578,5560.215,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T4.log,508896,1421183736,5,58367984,44678,4,2,4,518942.72,545.67,1.29,2.053,5638.526,244.74,5537.85,5495.368,5474.77,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,6,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T6.log,508896,1421183736,5,58367984,44678,6,2,6,518942.72,527.601,15.96,3.0855,4606.284,367.83,3684.753,3396.931,3228.67,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3_flat,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3_flat__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,486.353,2.37,2.2885,5108.374,272.81,4968.064,4968.956,4846.979,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,493.096,0.2,1.0979,10389.244,130.88,10355.48,10353.275,10339.291,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,10,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T10.log,508896,1421183736,5,58367984,44678,10,2,10,518942.72,538.911,0.81,1.936,5929.827,230.79,5872.546,5888.237,5807.135,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,546.472,0.61,2.1558,5326.055,256.99,5273.827,5259.73,5245.103,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,2,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T2.log,508896,1421183736,5,58367984,44678,2,2,2,518942.72,527.032,14.78,1.6781,7865.915,200.04,6775.393,6537.886,5821.627,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T4.log,508896,1421183736,5,58367984,44678,4,2,4,518942.72,537.939,19.28,2.1478,6725.942,256.03,5293.647,4896.075,4334.657,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,6,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T6.log,508896,1421183736,5,58367984,44678,6,2,6,518942.72,516.647,22.05,2.189,6123.411,260.94,5194.013,5844.09,3815.814,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,521.5,21.75,1.9662,6372.863,234.39,5782.483,6362.3,3533.595,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,491.182,2.23,1.0849,10893.114,129.33,10479.791,10379.151,10347.489,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,10,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T10.log,508896,1421183736,5,58367984,44678,10,2,10,518942.72,537.69,24.57,2.436,6027.292,290.4,4667.227,4343.139,3434.528,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,553.506,17.96,2.3107,5410.418,275.46,4920.387,5341.769,3349.953,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,2,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T2.log,508896,1421183736,5,58367984,44678,2,2,2,518942.72,521.039,13.73,1.6947,7702.332,202.03,6708.705,6625.329,5792.778,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T4.log,508896,1421183736,5,58367984,44678,4,2,4,518942.72,591.992,1.35,1.6361,7074.136,195.04,6948.996,6896.776,6873.277,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,6,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T6.log,508896,1421183736,5,58367984,44678,6,2,6,518942.72,495.498,2.16,1.8081,6438.448,215.55,6287.915,6331.41,6088.696,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,491.245,1.65,1.7614,6565.547,209.98,6454.78,6469.092,6344.362,
A_speedup_curves,patterns_et_32,enron_corpus,sequential,0,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__sequential__T0.log,508896,1421183736,5,58367984,44678,0,2,1,518942.72,552.958,2.53,1.0814,10808.31,128.91,10513.614,10334.323,10307.433,
A_speedup_curves,patterns_et_32,enron_corpus,sequential_flat,0,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__sequential_flat__T0.log,508896,1421183736,5,58367984,44678,0,2,1,518942.72,490.994,0.45,1.1878,9633.542,141.59,9572.254,9569.278,9530.684,
A_speedup_curves,patterns_et_32,enron_x8,pattern_sharded_prefix,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pattern_sharded_prefix__T1.log,508896,11369469888,5,466943872,44678,1,2,1,518942.72,492.8,0.1,1.191,76463.579,141.98,76369.601,76388.86,76258.79,
A_speedup_curves,patterns_et_32,enron_x8,pattern_sharded_prefix,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pattern_sharded_prefix__T12.log,508896,11369469888,5,466943872,44678,12,2,12,518942.72,537.226,2.76,1.5643,60213.327,186.48,58143.44,58522.364,55955.474,
A_speedup_curves,patterns_et_32,enron_x8,pattern_sharded_prefix,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pattern_sharded_prefix__T4.log,508896,11369469888,5,466943872,44678,4,2,4,518942.72,529.138,4.15,1.6971,55360.775,202.31,53593.995,54460.058,50122.098,
A_speedup_curves,patterns_et_32,enron_x8,pattern_sharded_prefix,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pattern_sharded_prefix__T8.log,508896,11369469888,5,466943872,44678,8,2,8,518942.72,486.73,1.92,1.7814,52616.684,212.37,51057.196,51053.628,50178.888,
A_speedup_curves,patterns_et_32,enron_x8,pthread_2d_sharded_chunked,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_2d_sharded_chunked__T1.log,508896,11369469888,5,466943872,44678,1,2,1,518942.72,500.361,0.15,1.1957,76225.119,142.53,76070.976,76014.866,75968.961,
A_speedup_curves,patterns_et_32,enron_x8,pthread_2d_sharded_chunked,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_2d_sharded_chunked__T12.log,508896,11369469888,5,466943872,44678,12,2,12,518942.72,512.095,7.95,2.638,36664.988,314.47,34479.642,35895.149,30567.521,
A_speedup_curves,patterns_et_32,enron_x8,pthread_2d_sharded_chunked,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_2d_sharded_chunked__T4.log,508896,11369469888,5,466943872,44678,4,2,4,518942.72,548.458,0.8,1.7811,51536.49,212.32,51067.336,51179.28,50438.144,
A_speedup_curves,patterns_et_32,enron_x8,pthread_2d_sharded_chunked,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_2d_sharded_chunked__T8.log,508896,11369469888,5,466943872,44678,8,2,8,518942.72,490.276,6.3,2.2253,43885.3,265.27,40874.187,40817.73,37118.666,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked__T1.log,508896,11369469888,5,466943872,44678,1,2,1,518942.72,486.218,0.4,1.0544,86632.47,125.69,86264.548,86196.448,85769.627,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked__T12.log,508896,11369469888,5,466943872,44678,12,2,12,518942.72,539.412,4.33,2.3219,41214.045,276.79,39173.69,39668.472,37075.968,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked__T4.log,508896,11369469888,5,466943872,44678,4,2,4,518942.72,489.77,2.44,1.6583,55744.837,197.68,54849.308,55216.945,52515.052,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked__T8.log,508896,11369469888,5,466943872,44678,8,2,8,518942.72,495.35,10.99,2.1335,49644.872,254.33,42632.115,42235.626,36849.574,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T1.log,508896,11369469888,5,466943872,44678,1,2,1,518942.72,495.471,0.05,1.1953,76136.821,142.49,76093.71,76070.054,76059.126,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T12.log,508896,11369469888,5,466943872,44678,12,2,12,518942.72,538.288,8.41,2.9361,33394.992,350.01,30978.601,31891.118,27298.383,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T4.log,508896,11369469888,5,466943872,44678,4,2,4,518942.72,499.917,3.27,2.0878,45226.351,248.88,43565.851,44054.452,41679.2,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_flat,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_flat__T8.log,508896,11369469888,5,466943872,44678,8,2,8,518942.72,561.203,12.92,2.779,36996.96,331.29,32729.411,33299.493,26592.041,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T1.log,508896,11369469888,5,466943872,44678,1,2,1,518942.72,536.419,0.47,1.0576,86398.497,126.08,86000.439,86081.635,85552.524,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T12.log,508896,11369469888,5,466943872,44678,12,2,12,518942.72,484.562,10.25,2.3838,41386.939,284.17,38155.965,39350.901,32024.873,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T4.log,508896,11369469888,5,466943872,44678,4,2,4,518942.72,494.271,5.65,1.7219,55383.539,205.27,52822.588,54436.087,48095.285,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v2,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v2__T8.log,508896,11369469888,5,466943872,44678,8,2,8,518942.72,544.402,8.99,2.1304,46223.792,253.96,42694.979,44385.957,38537.959,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3__T1.log,508896,11369469888,5,466943872,44678,1,2,1,518942.72,548.243,0.4,1.0609,86059.758,126.47,85734.073,85807.324,85331.714,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3__T12.log,508896,11369469888,5,466943872,44678,12,2,12,518942.72,531.703,7.47,2.3649,40611.094,281.92,38461.057,40303.43,34216.383,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3__T4.log,508896,11369469888,5,466943872,44678,4,2,4,518942.72,514.083,6.23,1.7643,54083.33,210.32,51554.704,53522.636,47879.368,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3__T8.log,508896,11369469888,5,466943872,44678,8,2,8,518942.72,543.155,4.31,1.9565,49246.247,233.24,46488.447,45693.861,44404.978,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3_flat,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3_flat__T1.log,508896,11369469888,5,466943872,44678,1,2,1,518942.72,487.57,0.3,1.1891,76841.722,141.76,76489.416,76475.174,76220.867,
A_speedup_curves,patterns_et_32,enron_x8,pthread_chunked_v3_flat,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_x8__pthread_chunked_v3_flat__T12.log,508896,11369469888,5,466943872,44678,12,2,12,518942.72,536.331,11.26,2.9253,33134.155,348.72,31093.129,33074.399,25026.393,
